strassenna,strassenkl,strassennr,Anzahl Unfälle
Wartmannstrasse,G2,"524","0"
Burgstrasse,G1,"78","2"
Kublystrasse,G2,"1006","0"
Birnbäumenstrasse,G2,"43","0"
Schorenstrasse,G1,"424","0"
St.Leonhard-Strasse,G1,"464","3"
Berneggstrasse,G2,"38","0"
Segantinistrasse,G2,"438","0"
Tanneichenweg,W2,"484","0"
Aetschbergstrasse,G2,"7","0"
Kasernenweg,W1,"658","0"
Gerhardtweg,W2,"1038","0"
Bedastrasse,G2,"34","0"
Wolfgangstrasse,G2,"540","0"
Bachweidstrasse,G2,"25","0"
Fähnernweg,W1,"104","0"
Brauerstrasse,G2,"59","1"
Gitzibüelweg,W2,"682","0"
Notkerseggweg,G3,"975","0"
Kesselhaldenstrasse,W2,"248","0"
Wägenwaldstrasse,G3,"514","0"
Kasperstöckweg,W2,"695","0"
Schachenbüelweg,G3,"401","0"
Dufourstrasse,G2,"91","0"
Gübsenweg,W1,"915","0"
Spiltrückliweg,W3,"990","0"
Meienbergweg,W1,"1032","0"
Harzbüchelstrasse,G1,"191","3"
Kapellenweg,W1,"791","0"
Oberhofstettenstrasse,G1,"350","0"
Stationsweg,W2,"467","0"
Mittelholzerstrasse,G2,"313","0"
Schachenbüelweg,G3,"401","0"
Parketteriestrasse,G2,"358","0"
Gallusstrasse,G2,"133","0"
Altenwegenstrasse,G3,"11","0"
Brogerhaldenweg,W1,"719","0"
Berneggweg,W2,"674","0"
Stahlstrasse,G2,"465","0"
Seitzstrasse,G2,"439","0"
Zylistrasse,G2,"554","0"
Birnbäumentreppe,W1,"716","0"
Hüttenwiesstrasse,G2,"586","0"
Röteliweg,W1,"840","0"
Wettachstrasse,G3,"1012","0"
Lindenstrasse,G2,"289","0"
Fürstenlandstrasse,G1,"131","6"
Lilienstrasse,G2,"288","0"
St.Georgen-Strasse,G2,"461","0"
Iddastrasse,G2,"226","0"
Oberer Hompeliweg,W2,"822","0"
Poststrasse,G1,"366","3"
Sonnenhaldenstrasse,G1,"449","0"
Gallusstrasse,G2,"133","1"
Hohermuthweg,W1,"1065","0"
Alter Eggsaumweg,W2,"951","0"
Wiesenmühleweg,W2,"532","0"
Flurhofstrasse,G1,"121","3"
Blarerstrasse,G2,"47","0"
Ullmannstrasse,G2,"501","0"
Dreilindenhang,G2,"89","0"
Zeughausgasse,G2,"543","0"
Auweg,G3,"23","0"
Andreasstrasse,G2,"15","0"
Hohermuthweg,W1,"1065","0"
Kreuzackerstrasse,G2,"654","0"
Splügenweg,W1,"933","0"
Ahornstrasse,G2,"9","0"
Ahornstrasse,G2,"9","0"
Kürsteinerstrasse,G3,"1068","0"
Frohbergstrasse,G1,"559","0"
Frohbergstrasse,G1,"559","0"
Frohbergstrasse,G1,"559","0"
Volksbadstrasse,G2,"512","0"
Burentobelweg,W2,"1016","0"
Wolfganghofweg,W2,"949","0"
Gotthelfstrasse,G1,"157","0"
Lindentalweg,W1,"963","0"
Gübsenweg,W1,"915","0"
Lindentalweg,W1,"963","0"
Lindentalweg,W1,"963","0"
Herisauer Strasse,G2,"203","0"
Zeppelinstrasse,G2,"1004","0"
Gübsenweg,W1,"915","0"
St.Georgen-Strasse,G1,"461","0"
Hochwachtstrasse,G2,"213","0"
Schachenbüelweg,W2,"401","0"
Treuackerstrasse,G2,"495","0"
Berneggwaldweg,W2,"673","0"
Nestweg,W2,"973","0"
Harzbüchelweg,W2,"773","0"
Brunneggstrasse,G2,"722","0"
Rappensteinstrasse,G2,"370","0"
Altmannweg,G3,"13","0"
Altmannweg,W2,"13","0"
Obere Berneggstrasse,G2,"341","0"
Vogelherdstrasse,G2,"1008","0"
Nussbaumwaldweg,W2,"976","0"
Helvetiastrasse,G2,"201","0"
Tunnelweg,W2,"888","0"
Frohsinnstrasse,G3,"128","0"
Herisauer Strasse,G1,"203","0"
Nussbaumwaldstrasse,G3,"819","0"
Schaugenmühleweg,G3,"851","0"
Untergädmenweg,W2,"994","0"
Katzenstrebelweg,W2,"1054","0"
Kesselhaldenstrasse,G1,"248","0"
Hüttenweg,G3,"693","0"
Kapfwaldweg,W2,"244","0"
Claudiusstrasse,G2,"80","0"
Reherstrasse,G2,"375","1"
Wallfahrtsweg,W2,"997","0"
Wolfgangstrasse,G1,"540","0"
Dreilindengässlein,W1,"735","0"
Dreilindengässlein,W1,"735","0"
Alte Konstanzer Strasse,W2,"620","0"
Hafnersbergweg,W2,"958","0"
Glärnischstrasse,G2,"148","0"
Dianastrasse,G2,"84","0"
Leimatstrasse,G2,"279","0"
Hölderlinweg,W2,"1057","0"
Blériotweg,G2,"666","0"
Kasperstöckweg,W2,"695","0"
Auwaldweg,G3,"953","0"
Steinbockstrasse,G2,"471","0"
Kammelenbergstrasse,G2,"241","0"
Hasenwäldliweg,W3,"688","0"
Schokoladenweg,G3,"423","0"
Rosenbüchelweg,W2,"835","0"
Lindentalstrasse,G2,"290","1"
Veilchenweg,G3,"511","0"
Lämmlisbrunnenstrasse,G1,"270","0"
Waldgutweg,W2,"946","0"
Bahnhofplatz,G2,"27","8"
Museumstrasse,G2,"328","1"
Primelweg,G2,"367","0"
Axensteinstrasse,G2,"24","0"
Hasenwäldliweg,W2,"688","0"
Allmendstrasse,G3,"1050","0"
Arenaweg West,W2,"1035","0"
Geigerstrasse,G2,"656","0"
Schoretshuebstrasse,G3,"425","0"
Kesswilweg,G3,"697","0"
Geltenwilenstrasse,KS1,KS4b,"3"
Torstrasse,KS1,KS3a,"2"
A1,NS,A1,"0"
Rehetobelstrasse,KS1,KS99b,"0"
Linsebühlstrasse,KS1,KS5b,"0"
Geissbergstrasse,KS1,KS44,"0"
Schönbüelstrasse,NS,BS6a,"0"
A1,NS,A1,"5"
Zürcher Strasse,NS,BS2c,"3"
Schönbüelstrasse,KS1,KS6a,"0"
Gatterstrasse,G2,"135","0"
Lindentalstrasse,G2,"290","0"
Walenbüchelstrasse,G2,"520","0"
Kleine-Stuelegg-Weg,W2,"1075","0"
Zwinglistrasse,G1,"552","0"
Winkelriedstrasse,G1,"539","0"
Winkelriedstrasse,G1,"539","0"
Pappelweg,G3,"356","0"
Brühltor-Passage,KS1,KS1a,"0"
Grütliweg,W2,"168","0"
Wenigerstrasse,G2,"597","0"
Kesselhaldenstrasse,G2,"248","0"
Schützengasse,G2,"431","0"
Dufourstrasse,G2,"91","0"
Achslenweg,W2,"2","0"
Hirtenweg,W2,"212","0"
Eisbahnweg,G3,"557","0"
Färberweg,W1,"741","0"
Bergbachweg,W2,"1051","0"
Herisauer Strasse,W1,"203","0"
Hätterenwaldweg,W2,"1053","0"
Hätterenwaldweg,W2,"1053","0"
Harfenbergstrasse,G2,"189","0"
Waldgutstrasse,G2,"518","0"
Brauersteig,W2,"718","0"
Distelistrasse,G2,"87","0"
Winkelriedstrasse,G1,"539","0"
Höggersbergweg,W2,"1056","0"
Isenringweg,G2,"234","0"
Holunderweg,W2,"1052","0"
Falkenburgweg,W1,"740","0"
Lehnhaldenstrasse,G2,"277","0"
Krüsistrasse,G2,"1025","0"
Oberstrasse,G2,"352","0"
Untergädmenweg,G3,"994","0"
Napfbachstrasse,G3,"1022","0"
Blumenbergplatz,G1,"50","0"
Klosterweidlistrasse,G2,"254","0"
Russenweg,W1,"843","0"
Kräzernweg,W2,"699","0"
Föhrenstrasse,G2,"122","0"
Schönauweg,G2,"421","0"
St.Leonhard-Weg,W1,"1026","0"
Hinterlauben,G2,"210","0"
Lindenstrasse,G2,"289","0"
Hätterenweg,W3,"176","0"
Steinachstrasse,G2,"470","0"
Spiltrückliweg,W3,"990","0"
Schönaustrasse,G2,"420","0"
Gübsenseeweg,W3,"170","0"
Curtistrasse,G2,"728","0"
Curtiweg,W2,"1046","0"
Arenaweg Ost,W2,"1036","1"
Chlausenmülistrasse,G3,"727","0"
Taeuberweg,G3,"1031","0"
Dreilindenstrasse,G2,"90","0"
Wattbachstrasse,G3,"526","0"
Rietweg,W3,"981","0"
Oberbrandstrasse,G3,"592","0"
Herbrigweg,W3,"689","0"
Billenbergstrasse,W2,"607","0"
Rütiweiherweg,W3,"844","0"
Bellonatalweg,W3,"672","0"
Kreuzbühlstrasse,G2,"262","0"
Hüttenwiesweg,W1,"587","0"
Furglerweg,W1,"1040","0"
Moosbruggstrasse,G2,"318","0"
Teslastrasse,G2,"1059","1"
St.Georgen-Strasse,G2,"461","1"
Ochsenweidstrasse,G3,"826","0"
Bogenstrasse,G1,"54","0"
Lagerstrasse,G2,"271","1"
Galgentobelweg,W2,"1058","0"
Straubenzellstrasse,G2,"477","0"
Guisanstrasse,G1,"174","1"
Webergasse,G2,"528","0"
Wassergasse,G1,"525","1"
Hohermuthweg,W1,"1065","0"
Blarerweg,W1,"1061","0"
Sonnrainweg,G2,"453","0"
Schaugenbadweg,W2,"849","0"
Turnerstrasse,G1,"499","1"
Oberhofstettenstrasse,G2,"350","0"
Peter-und-Paul-Weg,W2,"978","0"
Rietstrasse,G3,"659","0"
Bionstrasse,G2,"653","0"
Stationsstrasse,G2,"466","0"
Sonderstrasse,W2,"445","0"
Tetznerstrasse,G2,"1062","0"
Lindentalweg,W1,"963","0"
Ulmenweg,W1,"1070","0"
Heiligkreuzstrasse,W2,"197","0"
Ahornstrasse,G3,"9","0"
Billenbergstrasse,W2,"607","0"
Güterbahnhofstrasse,G2,"916","0"
Rechensteg,W2,"927","0"
Wolfganghofweg,W1,"949","0"
Wolfganghof,G2,"636","0"
Wolfganghofweg,W2,"949","0"
Wolfganghofweg,W2,"949","0"
Wolfganghofweg,W2,"949","0"
Heinrichsbadweg,W2,"776","0"
Lindentalweg,W1,"963","0"
Lindentalweg,W1,"963","0"
Vogelherdweg,G3,"604","0"
Heinrichsbadstrasse,KS1,KS91,"0"
Lukasstrasse,KS1,KS59a,"3"
Heiligkreuzstrasse,KS1,KS59b,"0"
Oberstrasse,KS1,KS4c,"0"
Rosenbergstrasse,KS1,KS2b,"1"
Teufener Strasse,KS1,KS4d,"3"
Appenzeller Strasse,NS,BS90,"0"
Zürcher Strasse,NS,BS2c,"1"
Steinachstrasse,KS1,KS102,"0"
Wiesenweg,W1,"535","0"
Mühlenweg,W1,"325","0"
Untergädmenweg,W3,"994","0"
Horstweg,W2,"784","0"
Obere Mühlentreppe,W1,"345","0"
Fürstenlandweg,W1,"132","0"
Geissbüelweg,W2,"136","0"
Passerellenweg,W1,"827","0"
Röteliweg,W1,"840","0"
Rickenstrasse,G2,"380","0"
Schattengässlein,W1,"848","0"
Rosenfeldstrasse,G2,"388","0"
Schokoladenweg,G2,"423","0"
Seelenhofweg,G3,"864","0"
Sitterstrandweg,W2,"866","0"
Stollentreppe,W1,"881","0"
Stollentreppe,W1,"881","0"
Höflistrasse,G1,"216","0"
Telltreppe,W1,"885","0"
Telltreppe,W1,"885","0"
Telltreppe,W1,"885","0"
Sonnenhaldenstrasse,G3,"449","0"
Jahnstrasse,G2,"236","0"
Bärenweg,W2,"711","0"
Bohl,G2,"55","9"
Boppartshofstrasse,G2,"56","0"
Boppartstrasse,W1,"57","0"
Dierauertreppe,W1,"732","0"
Wartensteinstrasse,G3,"523","0"
Egghöhenweg,W2,"738","0"
Egghöhenweg,W2,"738","0"
Egghöhenweg,W2,"738","0"
Metallstrasse,G3,"310","0"
Kurzeggweg,W3,"967","0"
Mittlerer Hompeliweg,W2,"314","0"
Zentralstrasse,G2,"542","0"
Malvenweg,W2,"299","0"
Moosbruggtreppe,W1,"811","0"
Mülenen-Schluchtweg,W2,"813","0"
Stephanshornweg,W2,"602","0"
Wiesenbachstrasse,G2,"582","0"
Plattenweg,W2,"831","0"
Zwyssigweg,W1,"605","0"
Rosengasse,G2,"837","0"
Resedastrasse,G2,"379","0"
Scheffelsteinweg,W1,"853","0"
Aeusseres Hofgässlein,G2,"640","0"
Haldenstrasse,G2,"185","0"
Hintere Poststrasse,G2,"208","0"
Schwertgasse,G2,"436","1"
Starweg,W1,"877","0"
Wagnerstrasse,G2,"893","0"
Spiltrücklistrasse,G2,"455","0"
Kamorstrasse,G2,"242","0"
Alte Thurgauer Strasse,G3,"705","0"
Haggenbrücke,G3,"919","0"
Brühlgasse,G2,"62","2"
Buchenweg,W1,"725","0"
Amselweg,W1,"952","0"
Amselweg,W1,"952","0"
Marktgasse,G2,"300","0"
Tschudistrasse,G2,"496","0"
Finkenstrasse,G2,"745","0"
Lessingstrasse,G2,"284","0"
Kugelgasse,G2,"269","0"
Davidshalden,W1,"729","0"
Tivoliweg,G3,"491","0"
Bubenbergweg,W1,"724","0"
Am Stutz,W1,"707","0"
Kapfweg,W2,"245","0"
Im Grund,G2,"229","0"
Waltramweg,W2,"899","0"
Spitalgasse,G2,"457","0"
Weidenmannstrasse,G3,"1011","0"
Bahnhofstrasse,G1,"28","3"
Untere Hagenbuchwaldstrasse,G3,"890","0"
Knottergässlein,W1,"795","0"
Schuppisstrasse,G2,"433","0"
Rosenheimstrasse,G2,"391","0"
Gsellstrasse,G2,"169","0"
Rotmontenweg,W2,"393","0"
Grubenweg,W1,"163","0"
Rosengartentreppe,W1,"836","0"
Rosenbüchelweg,W3,"835","0"
Greithstrasse,G2,"160","0"
Rickenweg,W1,"833","0"
Gesstreppe,W1,"145","0"
Etzelbüntstrasse,G2,"584","0"
Hintere Singenbergstrasse,G2,"778","0"
Hechtgasse,W2,"562","0"
Farbgutstrasse,G3,"108","0"
Falkenburgstrasse,G3,"106","0"
Ruhsitzsteig,W2,"983","0"
Engelgasse,G2,"96","0"
Kriemlersweidweg,W3,"966","0"
Langweidweg,W2,"275","0"
Aeusserer Sonnenweg,G2,"8","1"
Buchstrasse,G3,"72","0"
Sonderweg,W2,"446","0"
Winkelbachstrasse,G3,"538","0"
Bavariaweg,W2,"671","0"
Hätterenweg,W2,"176","0"
Rosenbergweg,G2,"655","0"
Paracelsusgässlein,G3,"1000","0"
Wolfganghof,G2,"636","0"
Schneebergtreppe,W1,"618","0"
Oberbrandstrasse,W2,"592","0"
Gatterstrasse,G3,"135","0"
Pelikanstrasse,G2,"362","0"
Fürstenlandstrasse,G3,"131","0"
Magnibergtreppe,W1,"806","0"
Hügelweg,W2,"786","0"
Hügelweg,W2,"786","0"
Obere Berneggstrasse,G3,"341","1"
Fichtestrasse,G2,"114","0"
Lange Stiege,W1,"801","0"
Lindenstrasse,G1,"289","0"
Notkerseggweg,W3,"975","0"
Notkerseggweg,W2,"975","0"
Moosgartenstrasse,G2,"319","0"
Schiltackerweg,W2,"856","0"
Vonwilstrasse,G2,"513","0"
Kurzenbergstrasse,G2,"606","0"
Ruhbergstrasse,G2,"396","1"
Tellstrasse,G2,"487","0"
Felsenstrasse,G1,"113","2"
Kesslerstrasse,G1,"249","0"
Gäbrisstrasse,G2,"756","0"
Rehweidstrasse,G2,"377","0"
Zwinglistrasse,G1,"552","0"
Bubenbergstrasse,G3,"68","0"
Sandrainstrasse,G2,"580","0"
Lessingstrasse,G2,"284","0"
Schwalbenstrasse,G2,"434","0"
Steigerstrasse,G2,"469","0"
Goethestrasse,G2,"151","0"
Heimatstrasse,G1,"198","1"
Kolumbanstrasse,G2,"634","0"
Kolosseumstrasse,G1,"257","0"
Schlösslistrasse,G2,"413","0"
Domänenstrasse,G2,"88","0"
Birnbäumentreppe,W1,"716","0"
Hagenbuchstrasse,G2,"180","0"
Brauerstrasse,G2,"59","1"
Grütlistrasse,G2,"167","0"
Leestrasse,G3,"276","0"
