;AccidentUID;AccidentType;AccidentType_de;AccidentSeverityCategory_de;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;RoadType_de;Location;CantonCode;MunicipalityCode;MunicipalityName;AccidentYear;AccidentMonth;Month_Year;AccidentMonth_de;AccidentWeekDay_de;AccidentHour;AccidentHour_text
368;9F9C1C984116204AE0430A865E33204A;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42758272978761,9.384672963660833;SG;3203;St. Gallen;2011;3;2011-03;März;Montag;19;19h-20h
375;D8C3C36422AD0270E0430A839427772E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41897168846648,9.353499121113696;SG;3203;St. Gallen;2013;3;2013-03;März;Dienstag;19;19h-20h
376;A0BA6B6E075850C4E0430A865E3350C4;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;andere;47.423088543231515,9.369939581861153;SG;3203;St. Gallen;2011;4;2011-04;April;Samstag;0;00h-01h
388;B342CC26B8B6000EE0430A839427000E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.4359348831496,9.394618357210552;SG;3203;St. Gallen;2011;11;2011-11;November;Dienstag;17;17h-18h
394;A376404D14676030E0430A865E336030;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41790084495517,9.35133975901696;SG;3203;St. Gallen;2011;5;2011-05;Mai;Freitag;13;13h-14h
406;C60AE296F6A54D3DE053DDB9D80AF655;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43302469707275,9.396460498276843;SG;3203;St. Gallen;2021;6;2021-06;Juni;Dienstag;18;18h-19h
408;8605C46723A529B4E05328B9D80A6A0B;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.424772540072816,9.371458961448065;SG;3203;St. Gallen;2019;3;2019-03;März;Sonntag;16;16h-17h
432;B3F45973A09B0028E0430A8394270028;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.430206542249934,9.388070264999962;SG;3203;St. Gallen;2011;11;2011-11;November;Donnerstag;16;16h-17h
434;8C876DEC9A103974E05328B9D80AA5AF;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.41193279170781,9.336254646187735;SG;3203;St. Gallen;2019;5;2019-05;Mai;Samstag;13;13h-14h
439;C7B0B0AE0F5E9F0FE053DDB9D80A747B;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.415357482486655,9.34682133622084;SG;3203;St. Gallen;2021;6;2021-06;Juni;Dienstag;10;10h-11h
453;F6ADC0E2E3FF018CE0430A839427EC9E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.413343154361336,9.34021486873218;SG;3203;St. Gallen;2014;3;2014-03;März;Montag;14;14h-15h
470;6F0D98D3578801C0E0530A839427B753;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;Nebenstrasse;47.41532217288229,9.346780306786776;SG;3203;St. Gallen;2018;6;2018-06;Juni;Donnerstag;8;08h-09h
472;71BBC043B195019AE0530A839427D563;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42750974467828,9.374554614515464;SG;3203;St. Gallen;2018;6;2018-06;Juni;Samstag;4;04h-05h
481;CE291FF47D607607E053DDB9D80AC9FA;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43112410021927,9.394468061839538;SG;3203;St. Gallen;2021;9;2021-09;September;Donnerstag;15;15h-16h
485;CDBD40437188B4EFE053DDB9D80A9C1B;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.40643824593514,9.33719852774891;SG;3203;St. Gallen;2021;9;2021-09;September;Montag;13;13h-14h
496;D602B563DD7A01A4E0430A8394271A44;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41387724424776,9.33892177858738;SG;3203;St. Gallen;2013;1;2013-01;Januar;Montag;16;16h-17h
503;B2D1503CCB928743E05329B9D80A0D9B;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.435418816924084,9.386285501115365;SG;3203;St. Gallen;2020;10;2020-10;Oktober;Dienstag;14;14h-15h
507;D7A2CD5BDFF50190E0430A8394272913;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41711755018296,9.367071928997957;SG;3203;St. Gallen;2013;3;2013-03;März;Montag;18;18h-19h
511;ADD98E7BDCFE005EE0430A839427005E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;andere;47.4198174739937,9.366480438745512;SG;3203;St. Gallen;2011;9;2011-09;September;Freitag;11;11h-12h
521;7739586045A401F4E0530A8394272582;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42520634162466,9.371342142772626;SG;3203;St. Gallen;2018;9;2018-09;September;Montag;14;14h-15h
522;F9BD559D7E3A0198E0430A839427745C;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.426316284882525,9.38133880126027;SG;3203;St. Gallen;2014;4;2014-04;April;Samstag;15;15h-16h
523;B8F399EFD5216598E053DDB9D80A6F6D;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.430355898654575,9.398921221290383;SG;3203;St. Gallen;2020;12;2020-12;Dezember;Montag;10;10h-11h
524;77C52A3FBD5101D2E0530A8394273214;at2;Auffahrunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.408079794856036,9.329265657423159;SG;3203;St. Gallen;2018;9;2018-09;September;Samstag;12;12h-13h
528;FB9FB7C7BAE8006AE0430A8394270944;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.40489651167866,9.324766242323333;SG;3203;St. Gallen;2014;5;2014-05;Mai;Freitag;12;12h-13h
532;DA0FDBD1333902A8E0430A839427F843;at1;Überholunfall oder Fahrstreifenwechsel;Unfall mit Leichtverletzten;True;False;Autobahn;47.439259479004264,9.413915688785606;SG;3203;St. Gallen;2013;3;2013-03;März;Mittwoch;22;22h-23h
541;EF4A4035085402D2E0430A839427E2AD;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41145015680007,9.366495541935732;SG;3203;St. Gallen;2013;11;2013-11;November;Donnerstag;11;11h-12h
543;ED5433FDDA990170E0430A8394279BE0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.426503043920654,9.37610889837079;SG;3203;St. Gallen;2013;11;2013-11;November;Freitag;16;16h-17h
544;DDEE354A21820054E0430A8394278522;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42536020877312,9.371824989288841;SG;3203;St. Gallen;2013;5;2013-05;Mai;Donnerstag;12;12h-13h
558;C5CDB60089C3181FE053DDB9D80ABEE2;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42079899714742,9.365349454755405;SG;3203;St. Gallen;2021;4;2021-04;April;Dienstag;12;12h-13h
561;E23BEA586E9702AAE0430A839427C4A2;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.4128842043393,9.340768396686105;SG;3203;St. Gallen;2013;6;2013-06;Juni;Freitag;18;18h-19h
564;C5F852F33FBC44F4E053DDB9D80A198F;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.419914818026534,9.374649563697247;SG;3203;St. Gallen;2021;5;2021-05;Mai;Freitag;14;14h-15h
