;AccidentUID;AccidentType;AccidentType_de;AccidentSeverityCategory_de;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;RoadType_de;Location;CantonCode;MunicipalityCode;MunicipalityName;AccidentYear;AccidentMonth;Month_Year;AccidentMonth_de;AccidentWeekDay_de;AccidentHour;AccidentHour_text
858;295D0553EEFB024AE0530A83942754B8;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43678789682706,9.387794223096098;SG;3203;St. Gallen;2015;11;2015-11;November;Freitag;17;17h-18h
867;A6EE1F1E46C50036E0430A8394270036;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42141593657642,9.356927600033966;SG;3203;St. Gallen;2011;6;2011-06;Juni;Montag;14;14h-15h
870;291EA9353DA302B8E0530A839427C717;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.427338908941834,9.374548400625464;SG;3203;St. Gallen;2015;12;2015-12;Dezember;Samstag;23;23h-00h
879;9990070048953FF5E05329B9D80A5FD4;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.41714702974907,9.355567556302162;SG;3203;St. Gallen;2019;11;2019-11;November;Dienstag;14;14h-15h
887;9D209C8A63D1404EE05329B9D80A3D1B;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43312700910335,9.399447593248553;SG;3203;St. Gallen;2019;12;2019-12;Dezember;Freitag;11;11h-12h
899;8BE7658A713FCA77E05328B9D80A7BD0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.437683500169015,9.40291733374257;SG;3203;St. Gallen;2019;5;2019-05;Mai;Montag;13;13h-14h
906;417C14CD09A300F4E0530A83942708C9;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42137538236801,9.37231656652289;SG;3203;St. Gallen;2016;10;2016-10;Oktober;Donnerstag;9;09h-10h
909;CB8E451D2BB000B0E0430A8394271AEA;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42820485529765,9.374951120443106;SG;3203;St. Gallen;2012;9;2012-09;September;Dienstag;14;14h-15h
926;8F947168211CDA1BE05328B9D80A5E54;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;Hauptstrasse;47.43160251893998,9.381571546293777;SG;3203;St. Gallen;2019;6;2019-06;Juni;Montag;19;19h-20h
947;49332AC86F6001CCE0530A839427E7B8;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42210989050626,9.371972070433198;SG;3203;St. Gallen;2017;2;2017-02;Februar;Mittwoch;15;15h-16h
967;E4F0006EA35E0288E0430A83942737F5;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.44784698266786,9.39619691737276;SG;3203;St. Gallen;2013;8;2013-08;August;Mittwoch;7;07h-08h
968;AEE46C47DD990131E05329B9D80A750A;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43254361281319,9.390860724709672;SG;3203;St. Gallen;2020;7;2020-07;Juli;Montag;13;13h-14h
972;B7887C917D55409BE053DDB9D80AF793;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.421481877252056,9.370252462284993;SG;3203;St. Gallen;2020;11;2020-11;November;Freitag;9;09h-10h
985;E9652CC2B417011CE0430A8394276042;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.447847207085346,9.396183662719821;SG;3203;St. Gallen;2013;9;2013-09;September;Montag;12;12h-13h
987;98295911A68C80B6E05329B9D80AA20B;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42649592840914,9.373311306906194;SG;3203;St. Gallen;2019;9;2019-09;September;Mittwoch;7;07h-08h
988;E8524ADE10A400D6E0430A839427F78F;at2;Auffahrunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43533292277716,9.386043681932303;SG;3203;St. Gallen;2013;9;2013-09;September;Donnerstag;18;18h-19h
992;B172E9254565B3FDE05329B9D80A77A8;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43088061390318,9.38757786908885;SG;3203;St. Gallen;2020;9;2020-09;September;Donnerstag;9;09h-10h
995;982959BE074465ABE05329B9D80A6230;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.433293794825516,9.398631662312367;SG;3203;St. Gallen;2019;10;2019-10;Oktober;Montag;18;18h-19h
996;CD44610E1B53016AE0430A839427502D;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43066389771443,9.392952925536575;SG;3203;St. Gallen;2012;9;2012-09;September;Montag;8;08h-09h
1004;CDBCCC95CFB60082E0430A8394274DDB;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.419415979424095,9.354376720484476;SG;3203;St. Gallen;2012;10;2012-10;Oktober;Samstag;23;23h-00h
1008;B8F399EFCD8C6598E053DDB9D80A6F6D;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42647472273273,9.377261270149829;SG;3203;St. Gallen;2020;11;2020-11;November;Donnerstag;16;16h-17h
1009;BBFB6CEAAA78007AE0430A839427007A;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43013057817009,9.37975443841303;SG;3203;St. Gallen;2012;2;2012-02;Februar;Freitag;19;19h-20h
1010;B797890D3177DB5BE053DDB9D80A3E79;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43378258578685,9.384077601251311;SG;3203;St. Gallen;2020;12;2020-12;Dezember;Donnerstag;22;22h-23h
1012;B9F0A1BB82C19EB1E053DDB9D80AF383;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.437347406942855,9.40416465800577;SG;3203;St. Gallen;2020;12;2020-12;Dezember;Sonntag;8;08h-09h
1024;9ED82D6503C2B270E05329B9D80A02BC;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43325748922614,9.410815630765306;SG;3203;St. Gallen;2020;1;2020-01;Januar;Freitag;19;19h-20h
1026;4CE369D994C3011EE0530A839427308D;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;Nebenstrasse;47.414635405166614,9.36755196005334;SG;3203;St. Gallen;2017;3;2017-03;März;Sonntag;13;13h-14h
1029;9F4E940331276C35E05329B9D80A89B6;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;andere;47.43235331866851,9.41371238788915;SG;3203;St. Gallen;2020;2;2020-02;Februar;Mittwoch;12;12h-13h
1031;BF349CB52DA70034E0430A8394276660;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43368476399327,9.413191647024394;SG;3203;St. Gallen;2012;4;2012-04;April;Donnerstag;13;13h-14h
1037;4E22F8EB1EB90150E0530A8394277C70;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42821980010849,9.386910339590305;SG;3203;St. Gallen;2017;3;2017-03;März;Montag;11;11h-12h
1038;A204AB6BE58004E3E05328B9D80ABB18;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;andere;47.42285454592581,9.369944348175784;SG;3203;St. Gallen;2020;2;2020-02;Februar;Donnerstag;11;11h-12h
1042;2A68064C820E00EEE0530A839427891D;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.419468748374,9.378716113569196;SG;3203;St. Gallen;2016;1;2016-01;Januar;Freitag;17;17h-18h
1044;2CE6FAA119A301D8E0530A83942781EC;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41778965678957,9.350991127893042;SG;3203;St. Gallen;2016;1;2016-01;Januar;Dienstag;22;22h-23h
1046;2AF11D08DFF40170E0530A83942730FF;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41387724424776,9.33892177858738;SG;3203;St. Gallen;2016;1;2016-01;Januar;Donnerstag;6;06h-07h
1066;C61B06E5BD910144E0430A839427AFBB;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43115056593722,9.373652878197165;SG;3203;St. Gallen;2012;6;2012-06;Juni;Mittwoch;14;14h-15h
1079;5707800A53150174E0530A8394272471;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;andere;47.421638745874134,9.363006982547832;SG;3203;St. Gallen;2017;6;2017-06;Juni;Samstag;13;13h-14h
1082;35504E40831C0118E0530A839427A904;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.428295875272845,9.383996366020396;SG;3203;St. Gallen;2016;5;2016-05;Mai;Montag;6;06h-07h
1083;5534FA98A9F2015EE0530A839427F912;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.4295718358213,9.388895548909396;SG;3203;St. Gallen;2017;7;2017-07;Juli;Dienstag;12;12h-13h
1085;355233CE5B40015AE0530A839427B17B;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.429100267511664,9.383243535405771;SG;3203;St. Gallen;2016;5;2016-05;Mai;Montag;11;11h-12h
1086;03F2CC4428DC0028E0530A83942709D9;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.44207950361313,9.394632056810774;SG;3203;St. Gallen;2014;8;2014-08;August;Freitag;18;18h-19h
1096;29EC39B280CC01AEE0530A839427EA72;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.430514374699406,9.392218213164302;SG;3203;St. Gallen;2016;1;2016-01;Januar;Donnerstag;17;17h-18h
1100;04C17374894D02F6E0530A8394277F62;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42430511565647,9.371972265455577;SG;3203;St. Gallen;2014;9;2014-09;September;Montag;9;09h-10h
1101;0C71F92B775601DCE0530A839427732D;at2;Auffahrunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.436840534743304,9.394797508414191;SG;3203;St. Gallen;2014;9;2014-09;September;Dienstag;11;11h-12h
1124;BBBE9BFFB4DE0066E0430A8394270066;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.417891853507186,9.351339435950193;SG;3203;St. Gallen;2012;1;2012-01;Januar;Freitag;18;18h-19h
1139;BBD03BB0D04500D6E0430A83942700D6;at2;Auffahrunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.44150580773085,9.39344397096596;SG;3203;St. Gallen;2012;3;2012-03;März;Mittwoch;6;06h-07h
1156;4335D2BD138F0074E0530A839427707C;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41589505518382,9.354568130467104;SG;3203;St. Gallen;2016;11;2016-11;November;Dienstag;13;13h-14h
1158;C0207ECEE97201AEE0430A83942760E5;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.426132929387116,9.377792375090456;SG;3203;St. Gallen;2012;4;2012-04;April;Donnerstag;2;02h-03h
1161;44028233CF8D008EE0530A839427C367;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.421664169572175,9.368495992964755;SG;3203;St. Gallen;2016;11;2016-11;November;Mittwoch;8;08h-09h
1169;45694F39D16E020AE0530A8394278C3B;at2;Auffahrunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41094841179185,9.338671453653584;SG;3203;St. Gallen;2016;12;2016-12;Dezember;Montag;17;17h-18h
1177;B57B80C09614D30BE053DDB9D80A5E9C;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;andere;47.40771432488664,9.305822102235025;SG;3203;St. Gallen;2020;10;2020-10;Oktober;Dienstag;16;16h-17h
1186;4CE0543651E0010CE0530A839427298E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;andere;47.409883345630135,9.310775306378787;SG;3203;St. Gallen;2017;2;2017-02;Februar;Donnerstag;16;16h-17h
1192;B9C7CFF69AEFC11EE053DDB9D80AE27E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.411240788194036,9.334016640701298;SG;3203;St. Gallen;2020;12;2020-12;Dezember;Dienstag;17;17h-18h
1209;BFEB9C71C5D4DF3EE053DDB9D80A8EB6;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42332745754601,9.370717138760458;SG;3203;St. Gallen;2021;1;2021-01;Januar;Donnerstag;7;07h-08h
1233;7EDBE852FC5B3DA8E05328B9D80AB4A2;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43037066733517,9.391138996602798;SG;3203;St. Gallen;2018;11;2018-11;November;Mittwoch;8;08h-09h
1238;5C81DCAEEE900258E0530A839427A0A6;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41732932913247,9.349993712660755;SG;3203;St. Gallen;2017;8;2017-08;August;Dienstag;15;15h-16h
1260;CF41E44C4D70C2C9E053DDB9D80A7145;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;Nebenstrasse;47.43691656819014,9.415711676397844;SG;3203;St. Gallen;2021;9;2021-09;September;Donnerstag;16;16h-17h
1267;CAD4D10632FD0012E0430A8394278E32;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.414630588389805,9.392470370697925;SG;3203;St. Gallen;2012;8;2012-08;August;Dienstag;15;15h-16h
1275;83DFEDCB4A9E7DC6E05328B9D80A43E6;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.422606619311566,9.354571092792508;SG;3203;St. Gallen;2019;2;2019-02;Februar;Sonntag;16;16h-17h
1294;FC7EDE01EA11014EE0430A83942764FF;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43079023725392,9.380653565699514;SG;3203;St. Gallen;2014;5;2014-05;Mai;Freitag;16;16h-17h
1295;BF957E120C4D00D2E0430A8394279F13;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42581635387046,9.377356606249528;SG;3203;St. Gallen;2012;3;2012-03;März;Donnerstag;5;05h-06h
1310;8E7D9FE3B9286A55E05328B9D80ABDEB;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;Nebenstrasse;47.42214541272848,9.37199987345556;SG;3203;St. Gallen;2019;5;2019-05;Mai;Dienstag;8;08h-09h
1324;8ECD5C1EDE8F83D4E05328B9D80AE933;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;andere;47.433625574151776,9.399757669726222;SG;3203;St. Gallen;2019;6;2019-06;Juni;Mittwoch;13;13h-14h
1325;5C5B844D62FF0184E0530A839427EF8A;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.424364956207796,9.382884933723487;SG;3203;St. Gallen;2017;10;2017-10;Oktober;Mittwoch;11;11h-12h
1336;08340A624619003CE0530A8394277BE0;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42503533277798,9.364879721307556;SG;3203;St. Gallen;2014;10;2014-10;Oktober;Donnerstag;14;14h-15h
1337;C5BAEDC6688E015CE0430A839427FDA0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43280669750602,9.383259638857805;SG;3203;St. Gallen;2012;6;2012-06;Juni;Montag;15;15h-16h
1342;C48DC94A2907002AE0430A8394275A8C;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.409697954013104,9.314439886100324;SG;3203;St. Gallen;2012;7;2012-07;Juli;Sonntag;1;01h-02h
1343;61EFA289EF7802AAE0530A83942748C5;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41597628535767,9.345305964324162;SG;3203;St. Gallen;2017;11;2017-11;November;Freitag;21;21h-22h
1356;3FB17AC54B1400ECE0530A839427D679;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43304723353017,9.38340102000289;SG;3203;St. Gallen;2016;9;2016-09;September;Freitag;20;20h-21h
1358;711EC9E468380106E0530A83942743FD;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.4396894435579,9.391255504782757;SG;3203;St. Gallen;2018;1;2018-01;Januar;Freitag;15;15h-16h
1360;95F6744BD6770B47E05328B9D80A343D;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.440974846864975,9.392920539356112;SG;3203;St. Gallen;2019;9;2019-09;September;Mittwoch;16;16h-17h
1369;712D7B146E4401B4E0530A8394275941;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.424325471983224,9.374518339830333;SG;3203;St. Gallen;2018;2;2018-02;Februar;Mittwoch;10;10h-11h
1370;967F8694F864B865E05328B9D80A615A;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.426347795616884,9.381605101230733;SG;3203;St. Gallen;2019;10;2019-10;Oktober;Mittwoch;10;10h-11h
1375;7F2AB1C5F8B9A9AEE05328B9D80A430A;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.4314267015867,9.381326469892588;SG;3203;St. Gallen;2018;12;2018-12;Dezember;Montag;13;13h-14h
1378;982959A3F2617EC3E05329B9D80AEB69;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.40643824593514,9.33719852774891;SG;3203;St. Gallen;2019;10;2019-10;Oktober;Donnerstag;21;21h-22h
1385;45056FD6044900C0E0530A839427217B;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.421812510109746,9.372001038228301;SG;3203;St. Gallen;2016;11;2016-11;November;Montag;11;11h-12h
1389;997C265E6CE90135E05329B9D80A0A33;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42488125319527,9.37732254572599;SG;3203;St. Gallen;2019;11;2019-11;November;Mittwoch;9;09h-10h
1391;6DE260448D6602E0E0530A83942791A0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43327750648593,9.41069703853447;SG;3203;St. Gallen;2018;5;2018-05;Mai;Dienstag;7;07h-08h
1397;862813AC441A767EE05328B9D80AB07D;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42475673987866,9.379916398696508;SG;3203;St. Gallen;2019;2;2019-02;Februar;Samstag;11;11h-12h
1399;47EB1FF784AF014CE0530A83942722BD;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42074048025726,9.35696953825745;SG;3203;St. Gallen;2017;1;2017-01;Januar;Freitag;8;08h-09h
1409;48F4469CCADF0298E0530A839427265F;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.4084249107125,9.312499893099908;SG;3203;St. Gallen;2017;2;2017-02;Februar;Dienstag;17;17h-18h
1415;87E573994ED2855FE05329B9D80ABF9A;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42640524959701,9.376039051043172;SG;3203;St. Gallen;2019;4;2019-04;April;Mittwoch;7;07h-08h
1417;88478949709D623EE05329B9D80AD0E0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;Nebenstrasse;47.42583366978867,9.377397009021124;SG;3203;St. Gallen;2019;4;2019-04;April;Mittwoch;17;17h-18h
1419;CC63F7D8BF8101DEE0430A8394274A1C;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.438023919112894,9.392918246033252;SG;3203;St. Gallen;2012;9;2012-09;September;Dienstag;17;17h-18h
1438;8A68831B7329D2F6E05328B9D80A0B14;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43047859941485,9.391673298820791;SG;3203;St. Gallen;2019;5;2019-05;Mai;Freitag;10;10h-11h
1441;CE5C023000900142E0430A839427AFB0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42876097080095,9.384159205325636;SG;3203;St. Gallen;2012;10;2012-10;Oktober;Donnerstag;12;12h-13h
1452;CFA0070B5DA90208E0430A83942737A7;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42309412471526,9.370682155890162;SG;3203;St. Gallen;2012;10;2012-10;Oktober;Montag;16;16h-17h
1461;3551C986E5800030E0530A83942781CE;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41760263075802,9.365498871540673;SG;3203;St. Gallen;2016;5;2016-05;Mai;Donnerstag;14;14h-15h
1462;5A355ACC97CB0190E0530A8394273D30;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.426318427423794,9.380676005381263;SG;3203;St. Gallen;2017;9;2017-09;September;Dienstag;15;15h-16h
1469;239DBB86F86B01D2E0530A839427BB6E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42294747249856,9.370305648012941;SG;3203;St. Gallen;2015;8;2015-08;August;Montag;17;17h-18h
1476;D30111B8870B00BAE0430A8394275086;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.435119200516276,9.396033686801553;SG;3203;St. Gallen;2012;11;2012-11;November;Mittwoch;16;16h-17h
1483;61EF7C443225014CE0530A839427A329;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42330033548405,9.38252788434496;SG;3203;St. Gallen;2017;10;2017-10;Oktober;Samstag;13;13h-14h
1489;53B8571BBB4A009CE0530A8394273AEA;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42219451771455,9.366367684737762;SG;3203;St. Gallen;2017;6;2017-06;Juni;Sonntag;21;21h-22h
1501;9B87AB98E8373163E05329B9D80AAEF9;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43669699776703,9.406434643185497;SG;3203;St. Gallen;2019;12;2019-12;Dezember;Freitag;18;18h-19h
1503;6473700A823B016CE0530A839427259E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;andere;47.43523297614921,9.391967126410998;SG;3203;St. Gallen;2017;12;2017-12;Dezember;Freitag;9;09h-10h
1504;64AFE64EFD89013CE0530A8394270DAB;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.4226027335658,9.36562684862405;SG;3203;St. Gallen;2017;12;2017-12;Dezember;Mittwoch;17;17h-18h
1505;71331D12A45801DEE0530A8394275ABB;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42478956540075,9.373129969845333;SG;3203;St. Gallen;2018;1;2018-01;Januar;Montag;3;03h-04h
1507;269CCDCF8B240086E0530A83942747C9;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42717895316408,9.374966827956582;SG;3203;St. Gallen;2015;11;2015-11;November;Donnerstag;7;07h-08h
1512;59C40E881544015AE0530A839427E60B;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.40238998929297,9.304045262238414;SG;3203;St. Gallen;2017;8;2017-08;August;Donnerstag;23;23h-00h
1513;28B90EF5C15C00BEE0530A839427AE2F;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42249825719856,9.370806348877553;SG;3203;St. Gallen;2015;12;2015-12;Dezember;Montag;16;16h-17h
1518;294B887729F000FEE0530A839427F819;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.414002918323696,9.349304351996961;SG;3203;St. Gallen;2015;12;2015-12;Dezember;Mittwoch;6;06h-07h
1520;519D57AA42D300FAE0530A839427DF6D;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.4230907100509,9.371424403581816;SG;3203;St. Gallen;2017;3;2017-03;März;Montag;21;21h-22h
1526;51895D9E12A801C6E0530A8394278875;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.4056057808159,9.30435670145633;SG;3203;St. Gallen;2017;4;2017-04;April;Samstag;18;18h-19h
1531;6DE2604485D902E0E0530A83942791A0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.425452055381356,9.374400228453544;SG;3203;St. Gallen;2018;4;2018-04;April;Samstag;23;23h-00h
1539;2D75EEDF123400DAE0530A8394278959;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.44424450211391,9.409127481912828;SG;3203;St. Gallen;2016;2;2016-02;Februar;Montag;11;11h-12h
1542;2D0D165498C60144E0530A83942798E0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.41951670689293,9.367251634103791;SG;3203;St. Gallen;2016;2;2016-02;Februar;Samstag;11;11h-12h
1551;A9336BFE949C7950E05328B9D80AA3EB;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42485414214164,9.386959485642306;SG;3203;St. Gallen;2020;5;2020-05;Mai;Montag;11;11h-12h
1552;FE4FA11854680096E0430A839427850A;at2;Auffahrunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.40742701358945,9.304672314594887;SG;3203;St. Gallen;2014;6;2014-06;Juni;Freitag;20;20h-21h
1567;17FF8330B0C800BAE0530A83942720EB;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;Nebenstrasse;47.42002361313179,9.366527671957238;SG;3203;St. Gallen;2015;5;2015-05;Mai;Dienstag;7;07h-08h
1568;B604689CB9575D6DE053DDB9D80AD51C;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43189159217943,9.388980559431806;SG;3203;St. Gallen;2020;6;2020-06;Juni;Donnerstag;7;07h-08h
1573;AB18CDDF2F3770B1E05328B9D80A0946;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43714416156834,9.390141070190142;SG;3203;St. Gallen;2020;6;2020-06;Juni;Freitag;10;10h-11h
1581;38279B46971D00BCE0530A839427AFB2;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;andere;47.4397216029337,9.391482119609838;SG;3203;St. Gallen;2016;5;2016-05;Mai;Sonntag;18;18h-19h
1582;3A43F8E0F6D40222E0530A839427C986;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.4234953941089,9.368204455816015;SG;3203;St. Gallen;2016;6;2016-06;Juni;Mittwoch;13;13h-14h
1588;C17DC691960E047AE053DDB9D80A7BCC;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.414629435562595,9.397851707929082;SG;3203;St. Gallen;2021;4;2021-04;April;Donnerstag;15;15h-16h
1596;08C3296BC5110190E0530A8394277DC6;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.419495944885796,9.37870384900651;SG;3203;St. Gallen;2014;10;2014-10;Oktober;Mittwoch;19;19h-20h
1600;C57CFAAC742F4C76E053DDB9D80A71D0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;andere;47.4262997848096,9.376963234135598;SG;3203;St. Gallen;2021;5;2021-05;Mai;Dienstag;7;07h-08h
