name;score;description;category;label;_geom;lat;lng
ix8TFNFLnTmWmVFgUD5vtQ;35.413059349155176;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/ix8TFNFLnTmWmVFgUD5vtQ""><img style=""width:200px"" src=""https://images.mapillary.com/ix8TFNFLnTmWmVFgUD5vtQ/thumb-320.jpg""></a><br>Streetwise Score: 35.413059349155176";3;+;47.4256742,9.3800834;47.4256742;9.3800834
MSyjEL4jAx2ZXMpqQ91Eqg;43.53548065651843;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/MSyjEL4jAx2ZXMpqQ91Eqg""><img style=""width:200px"" src=""https://images.mapillary.com/MSyjEL4jAx2ZXMpqQ91Eqg/thumb-320.jpg""></a><br>Streetwise Score: 43.53548065651843";4;wahrgenommene Sicherheit hoch;47.4255395,9.3798461;47.4255395;9.3798461
WbutjICLnngoyn6TEGuevA;32.680614112344486;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/WbutjICLnngoyn6TEGuevA""><img style=""width:200px"" src=""https://images.mapillary.com/WbutjICLnngoyn6TEGuevA/thumb-320.jpg""></a><br>Streetwise Score: 32.680614112344486";3;+;47.4253651,9.3796349;47.4253651;9.3796349
zuYmF_oTc88vPa3ZUXFWVA;37.897174908689855;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/zuYmF_oTc88vPa3ZUXFWVA""><img style=""width:200px"" src=""https://images.mapillary.com/zuYmF_oTc88vPa3ZUXFWVA/thumb-320.jpg""></a><br>Streetwise Score: 37.897174908689855";3;+;47.4254139,9.3783288;47.4254139;9.3783288
CLa_lbZZnI77IL4dKLIP8Q;36.9911823791133;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/CLa_lbZZnI77IL4dKLIP8Q""><img style=""width:200px"" src=""https://images.mapillary.com/CLa_lbZZnI77IL4dKLIP8Q/thumb-320.jpg""></a><br>Streetwise Score: 36.9911823791133";3;+;47.425761,9.3774609;47.425761;9.3774609
jXmqeogMHRBGPy3pgAjfwQ;26.771661787156205;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/jXmqeogMHRBGPy3pgAjfwQ""><img style=""width:200px"" src=""https://images.mapillary.com/jXmqeogMHRBGPy3pgAjfwQ/thumb-320.jpg""></a><br>Streetwise Score: 26.771661787156205";2;0;47.4227111,9.3684111;47.4227111;9.3684111
O6fGP3L1k9oXWDFDGpaTDA;20.607666582796288;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/O6fGP3L1k9oXWDFDGpaTDA""><img style=""width:200px"" src=""https://images.mapillary.com/O6fGP3L1k9oXWDFDGpaTDA/thumb-320.jpg""></a><br>Streetwise Score: 20.607666582796288";2;0;47.4227194,9.3684194;47.4227194;9.3684194
Tnivu6SSbkC2zPHp2cyVHQ;27.14533694411498;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/Tnivu6SSbkC2zPHp2cyVHQ""><img style=""width:200px"" src=""https://images.mapillary.com/Tnivu6SSbkC2zPHp2cyVHQ/thumb-320.jpg""></a><br>Streetwise Score: 27.14533694411498";2;0;47.4286589,9.3608546;47.4286589;9.3608546
c9JPSSRnRuhOIOhulbwQiA;26.73158857426138;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/c9JPSSRnRuhOIOhulbwQiA""><img style=""width:200px"" src=""https://images.mapillary.com/c9JPSSRnRuhOIOhulbwQiA/thumb-320.jpg""></a><br>Streetwise Score: 26.73158857426138";2;0;47.4277713,9.3590872;47.4277713;9.3590872
qktxBsNz7dtIVeDPme1nvQ;28.251166161505665;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/qktxBsNz7dtIVeDPme1nvQ""><img style=""width:200px"" src=""https://images.mapillary.com/qktxBsNz7dtIVeDPme1nvQ/thumb-320.jpg""></a><br>Streetwise Score: 28.251166161505665";2;0;47.4266334,9.3566558;47.4266334;9.3566558
