;AccidentUID;AccidentType;AccidentType_de;AccidentSeverityCategory_de;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;RoadType_de;Location;CantonCode;MunicipalityCode;MunicipalityName;AccidentYear;AccidentMonth;Month_Year;AccidentMonth_de;AccidentWeekDay_de;AccidentHour;AccidentHour_text
515;B5766B82AA531167E053DDB9D80A5AC0;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;True;Hauptstrasse;47.42638906918049,9.379684270764931;SG;3203;St. Gallen;2020;11;2020-11;November;Mittwoch;14;14h-15h
582;B125D388DA9801B2E0430A83942701B2;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.40560153597714,9.315726797256916;SG;3203;St. Gallen;2011;10;2011-10;Oktober;Donnerstag;7;07h-08h
613;0ABD0A96794201C0E0530A8394275907;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.437911642248416,9.403257267009636;SG;3203;St. Gallen;2014;12;2014-12;Dezember;Dienstag;17;17h-18h
615;0C72CEF191F902B6E0530A839427AFC5;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.43238949041778,9.397842590218302;SG;3203;St. Gallen;2014;12;2014-12;Dezember;Dienstag;17;17h-18h
703;FBF16242BD830144E0430A839427E716;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.43840922560967,9.405211684657553;SG;3203;St. Gallen;2014;5;2014-05;Mai;Dienstag;10;10h-11h
715;C01F0EAF4505004AE0430A8394272BA2;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.41596367223976,9.362351173140095;SG;3203;St. Gallen;2012;3;2012-03;März;Freitag;18;18h-19h
723;BE677131BEBA00D8E0430A83942700D8;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.419831531507626,9.355359346072087;SG;3203;St. Gallen;2012;3;2012-03;März;Samstag;22;22h-23h
737;EFDCBAD1826A018EE0430A839427E071;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.409186924388074,9.330882078842695;SG;3203;St. Gallen;2013;12;2013-12;Dezember;Sonntag;10;10h-11h
765;C6D2D1AEBB77018CE0430A839427BA1B;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;andere;47.428116384842454,9.37539867053928;SG;3203;St. Gallen;2012;6;2012-06;Juni;Sonntag;3;03h-04h
802;FD1F82736ED60106E0430A839427257F;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.438307974880345,9.40164085126146;SG;3203;St. Gallen;2014;6;2014-06;Juni;Mittwoch;14;14h-15h
806;7AB18F150EE63623E05328B9D80A1819;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.41663432432132,9.35935327131922;SG;3203;St. Gallen;2018;9;2018-09;September;Donnerstag;12;12h-13h
809;1F610005EE0B0160E0530A83942733BC;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.4179312704722,9.367909982544102;SG;3203;St. Gallen;2015;8;2015-08;August;Dienstag;7;07h-08h
817;9254507ABB2BDDB0E05328B9D80A0C5F;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.44803583099471,9.397795421355056;SG;3203;St. Gallen;2019;8;2019-08;August;Dienstag;16;16h-17h
849;7FCCD780F3D514CEE05328B9D80AB621;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.43112410021927,9.394468061839538;SG;3203;St. Gallen;2018;12;2018-12;Dezember;Dienstag;6;06h-07h
862;A774AC335E2B01AAE0430A83942701AA;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.43753588961265,9.406306540942627;SG;3203;St. Gallen;2011;6;2011-06;Juni;Samstag;13;13h-14h
918;45056FD6033400C0E0530A839427217B;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.41001250919438,9.334304245405717;SG;3203;St. Gallen;2016;11;2016-11;November;Donnerstag;16;16h-17h
942;B2D0395F71F267C6E05329B9D80A373F;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.44789171440989,9.396211826197451;SG;3203;St. Gallen;2020;9;2020-09;September;Mittwoch;10;10h-11h
958;B3A8CBCEB5203C9BE053DDB9D80AE374;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;True;Nebenstrasse;47.42073105611071,9.368342858638119;SG;3203;St. Gallen;2020;8;2020-08;August;Donnerstag;16;16h-17h
